ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12207994,JD416258,10/31/2020 07:30:00 AM,0000X E 72ND ST,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,false,false,0323,003,6,69,03,,,2020,11/07/2020 03:53:58 PM,,,
11462827,JB457362,09/30/2018 07:30:00 PM,006XX S CLARK ST,0860,THEFT,RETAIL THEFT,RESTAURANT,false,false,0123,001,4,32,06,1175622,1897480,2018,12/20/2018 04:06:14 PM,41.874057849,-87.630660914,"(41.874057849, -87.630660914)"
11825913,JC430496,09/09/2019 09:00:00 AM,001XX W HURON ST,0890,THEFT,FROM BUILDING,HOTEL/MOTEL,false,false,1832,018,42,8,06,1175253,1905045,2019,09/16/2019 04:29:11 PM,41.894824927,-87.631788635,"(41.894824927, -87.631788635)"
11839869,JC447248,09/24/2019 02:00:00 PM,0000X E 23RD ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0131,001,3,33,06,1176856,1889115,2019,10/01/2019 04:20:30 PM,41.851075936,-87.626383191,"(41.851075936, -87.626383191)"
11796164,JC394777,08/08/2019 03:45:00 PM,025XX N NORMANDY AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),false,false,2512,025,29,18,14,1131321,1916235,2019,08/21/2019 04:18:43 PM,41.926404101,-87.792881805,"(41.926404101, -87.792881805)"
12142702,JD340450,08/21/2020 05:05:00 PM,0000X N LOREL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1522,015,28,25,08B,1140716,1899813,2020,08/28/2020 03:51:47 PM,41.881172542,-87.758763179,"(41.881172542, -87.758763179)"
12152785,JD352262,08/31/2020 08:00:00 AM,057XX N KENMORE AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,2022,020,48,77,05,1168207,1938358,2020,09/07/2020 03:55:04 PM,41.986392486,-87.656700734,"(41.986392486, -87.656700734)"
11468013,JB464109,10/05/2018 08:00:00 PM,056XX W BELMONT AVE,0560,ASSAULT,SIMPLE,DRUG STORE,false,false,1633,016,38,15,08A,1138010,1920706,2018,10/12/2018 03:54:37 PM,41.938554681,-87.768194131,"(41.938554681, -87.768194131)"
11464204,JB459031,10/02/2018 01:53:00 AM,025XX N RUTHERFORD AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,2512,025,36,18,03,1130989,1916193,2018,10/09/2018 04:03:49 PM,41.926294583,-87.794102746,"(41.926294583, -87.794102746)"
11432642,JB417327,09/01/2018 12:22:00 AM,065XX S DAMEN AVE,0560,ASSAULT,SIMPLE,SIDEWALK,false,true,0726,007,15,67,08A,1164156,1861187,2018,09/08/2018 04:01:32 PM,41.774715727,-87.67378148,"(41.774715727, -87.67378148)"
