ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11860686,JC472724,10/14/2019 06:06:00 PM,071XX S HONORE ST,5110,OTHER OFFENSE,GUN OFFENDER: DUTY TO REGISTER,SIDEWALK,true,false,0735,007,17,67,26,1165255,1857304,2019,10/21/2019 04:19:28 PM,41.764037053,-87.66986251,"(41.764037053, -87.66986251)"
11860305,JC472121,10/14/2019 10:19:00 AM,047XX S DR MARTIN LUTHER KING JR SD,5112,OTHER OFFENSE,GUN OFFENDER: DUTY TO REPORT CHANGE OF INFORMATION,STREET,true,false,0224,002,3,38,26,1179585,1873777,2019,10/24/2019 03:57:38 PM,41.808925231,-87.616836801,"(41.808925231, -87.616836801)"
11861029,JC472937,10/14/2019 09:45:00 PM,044XX S MAPLEWOOD AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,ALLEY,true,false,0922,009,15,58,15,1160104,1875183,2019,10/21/2019 04:19:28 PM,41.813206927,-87.688250564,"(41.813206927, -87.688250564)"
11860613,JC472513,10/14/2019 04:00:00 PM,005XX N LAWNDALE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,true,false,1122,011,27,23,15,1151624,1903375,2019,10/21/2019 04:19:28 PM,41.890739661,-87.718615579,"(41.890739661, -87.718615579)"
11859734,JC471515,10/12/2019 11:00:00 PM,077XX N SHERIDAN RD,051A,ASSAULT,AGGRAVATED: HANDGUN,OTHER,true,false,2422,024,49,1,04A,1165397,1951469,2019,10/22/2019 04:01:10 PM,42.022429786,-87.666660332,"(42.022429786, -87.666660332)"
11862033,JC474228,10/15/2019 09:45:00 PM,024XX E 106TH ST,5111,OTHER OFFENSE,GUN OFFENDER: ANNUAL REGISTRATION,STREET,true,false,0434,004,7,51,26,1194401,1835217,2019,10/22/2019 04:09:46 PM,41.702761816,-87.563760813,"(41.702761816, -87.563760813)"
11861946,JC474197,10/15/2019 07:18:00 PM,014XX W MARQUETTE RD,5111,OTHER OFFENSE,GUN OFFENDER: ANNUAL REGISTRATION,STREET,true,false,0725,007,16,67,26,1167902,1860317,2019,10/22/2019 04:09:46 PM,41.772248679,-87.660074173,"(41.772248679, -87.660074173)"
11862073,JC474269,10/15/2019 10:12:00 PM,007XX N SAWYER AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,true,false,1121,011,27,23,15,1154576,1904694,2019,10/22/2019 04:09:46 PM,41.894300579,-87.707739011,"(41.894300579, -87.707739011)"
11861056,JC473019,10/15/2019 01:15:00 AM,044XX W BELDEN AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,true,false,2522,025,36,20,15,1146220,1914917,2019,10/22/2019 04:09:46 PM,41.922516641,-87.738167801,"(41.922516641, -87.738167801)"
11861501,JC473443,10/15/2019 12:15:00 PM,002XX N PINE AVE,031A,ROBBERY,ARMED: HANDGUN,ALLEY,false,false,1523,015,37,25,03,1139460,1901108,2019,10/22/2019 04:09:46 PM,41.88474917,-87.763343624,"(41.88474917, -87.763343624)"
11861822,JC473959,10/15/2019 05:50:00 PM,071XX S EAST END AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,false,false,0324,003,7,43,04A,1188771,1857918,2019,10/22/2019 04:09:46 PM,41.765191853,-87.583652091,"(41.765191853, -87.583652091)"
11861160,JC473071,10/15/2019 05:06:00 AM,089XX S BURLEY AVE,033A,ROBBERY,ATTEMPT: ARMED-HANDGUN,RESIDENTIAL YARD (FRONT/BACK),false,false,0424,004,10,46,03,1199225,1846255,2019,10/22/2019 04:09:46 PM,41.732931365,-87.545727176,"(41.732931365, -87.545727176)"
11862056,JC474186,10/15/2019 09:11:00 PM,030XX S KEELER AVE,041A,BATTERY,AGGRAVATED - HANDGUN,SIDEWALK,false,false,1031,010,22,30,04B,1148867,1884072,2019,08/10/2020 03:50:37 PM,41.837823658,-87.729239549,"(41.837823658, -87.729239549)"
